"","Character","Occupation","Category"
"633","Donna Fargo","American country singer-songwriter, who is best known for a series of Top 10 country hits in the 1970s","Musical Entertainer"
"634","Donna Hamilton","news anchor","News Entertainer"
"635","Donna Hanover","American journalist, radio and television personality, television producer, and actress","News Entertainer"
"636","Donna Reed","American film and television actress and producer","Acting Entertainer"
"637","Donna Rice","best known as having an alleged affair with presidential candidate Gary Hart, ending his campaign","other"
"638","Donna Shalala","United States Secretary of Health and Human Services under President Bill Clinton from 1993 to 2001","other"
"639","Donnie Wahlberg","American singer-songwriter, actor, record producer, and film producer","Musical / Acting Entertainer"
"640","Donny Osmond","American singer, actor, radio personality, and former teen idol","Musical / Acting Entertainer"
"641","Donovan Campbell","one of Paula Jones' attorneys during Clinton trials","Law Professional"
"642","Donovan McNabb","former American football quarterback who played in the National Football League (NFL) for thirteen seasons, primarily with the Philadelphia Eagles","Athlete"
"643","Doria Reagan","best known as wife of Ron Reagan (daughter-in-law to former president Ronald Reagan)","U.S. Political Family"
"644","Doug Flutie","former quarterback in the National Football League (NFL), Canadian Football League (CFL), and United States Football League (USFL)","Athlete"
"645","Doug Henning","Canadian magician, illusionist, escape artist and politician","Other Entertainer"
"646","Doug Llewelyn","actor, best known as the host of TV's ""classic"" version of the courtroom series ""The People's Court""","Acting Entertainer"
"647","Doug Stanhope","American stand-up comedian, actor, and author known for his cynical and controversial comedy style","Acting Entertainer"
"648","Doug Williams","former American football quarterback and former head coach of the Grambling State Tigers football team, best known for his remarkable performance in Super Bowl XXII ","Athlete"
"649","Douglas Feith","served as the under secretary of Defense for Policy for US president George W Bush","U.S. Politician"
"650","Douglas Ginsburg","judge on the United States Court of Appeals for the District of Columbia Circuit","Law Professional"
"651","Douglas MacArthur","American five-star general and field marshal of the Philippine Army","other"
"652","Dov Charney","Canadian-American businessman","Business Leader"
"653","Dr. Anthony Fauci","American immunologist who has made substantial contributions to HIV/AIDS research and other immunodeficiencies","other"
"654","Dr. Dre","American rapper, record producer, and entrepreneur","Musical / Acting Entertainer"
"655","Dr. Gene Scott","U.S. pastor and teacher who served for almost 50 years as an ordained minister and broadcaster in Los Angeles, California","Religious Figure"
"656","Dr. Haing S. Ngor","Cambodian American gynecologist, obstetrician, actor, author, and refugee, best known for winning the Academy Award for Best Supporting Actor in his performance in the film The Killing Fields","Acting Entertainer"
"657","Dr. Jack Kevorkian","American pathologist, euthanasia activist, painter, author, composer, and instrumentalist","other"
"658","Dr. John","American singer, songwriter, voice actor, pianist, and guitarist, whose music combines blues, pop, jazz, zydeco, boogie woogie, and rock and roll","Musical / Acting Entertainer"
"659","Dr. Laura Schlessinger","American talk radio host, socially conservative commentator and author","News Entertainer"
"660","Dr. Mehmet Oz","Turkish-Americancardio thoracic surgeon and professor at Columbia University, pseudoscience promoter, author and television personality","News Entertainer"
"661","Dr. Phil McGraw","American television personality, author, psychologist, and the host of the television show Dr. Phil","News Entertainer"
"662","Dr. Ruth Westheimer","American sex therapist, media personality, and author","News Entertainer"
"663","Drake","Canadian rapper, singer, songwriter, record producer, and actor","Musical / Acting Entertainer"
"664","Drake Bell","American actor, voice actor, and musician","Musical / Acting Entertainer"
"665","Drew Barrymore","American actress, author, director, model and producer","Acting Entertainer"
"666","Duane Chapman","American bounty hunter and a former bail bondsman","other"
"667","Dustin Diamond","American actor, musician, director, and stand-up comedian widely known for his role as Samuel ""Screech"" Powers in the television shows Saved by the Bell","Musical / Acting Entertainer"
"668","Dustin Hoffman","American actor and a director, with a career in film, television, and theatre since 1960","Acting Entertainer"
"669","Dylan McDermott","American actor","Acting Entertainer"
"670","Dylan Sprouse","American actor, twin of Cole Sprouse","Acting Entertainer"
"671","Earl Holliman","American actor","Acting Entertainer"
"672","Earl Woods","US Army infantry officer who served two tours of duty in Vietnam, and retired with the rank of lieutenant colonel","other"
"673","Eartha Kitt","American singer, actress, dancer, activist, voice actress and comedian, known for her highly distinctive singing style","Musical / Acting Entertainer"
"674","Eckhart Tolle","German-born resident of Canada, best known as the author of The Power of Now and A New Earth: Awakening to your Life's Purpose","Writer"
"675","Ed Ames","American popular singer and actor","Musical / Acting Entertainer"
"676","Ed Asner","American actor, voice actor and a former president of the Screen Actors Guild","Acting Entertainer"
"677","Ed Begley Jr.","American actor and environmentalist","Acting Entertainer"
"678","Ed Bradley","American journalist, best known for 26 years of award-winning work on the CBS News television program 60 Minutes","News Entertainer"
"679","Ed Gillespie","American Republican political strategist who served as the 61st Chairman of the Republican National Committee and Counselor to the President in the George W. Bush administration","U.S. Politician"
"680","Ed Jaymes","character in commercial for Bartles & James wine cooler","other"
"681","Ed Lover","rapper, actor, musician, radio personality, former MTV VJ","Musical / Acting Entertainer"
"682","Ed McMahon","American comedian, actor, singer, game show host and announcer","Musical / Acting Entertainer"
"683","Ed Meese","American attorney, law professor, author and member of the Republican Party and was the 75th Attorney General of the United States (1985–1988)","U.S. Politician"
"684","Ed Sheeran","English singer and songwriter","Musical Entertainer"
"685","Ed Sullivan","American television personality, sports and entertainment reporter, and longtime syndicated columnist for the New York Daily News","News Entertainer"
"686","Edd Byrnes","American actor best known for his starring role in the television series 77 Sunset Strip","Acting Entertainer"
"687","Eddie Murphy","American comedian, actor, writer, singer, and producer","Musical / Acting Entertainer"
"688","Eddie Vedder","American musician, singer and songwriter best known as a member of the grunge band Pearl Jam, with whom he performs lead vocals and is one of three guitarists","Musical Entertainer"
"689","Eddy Lewis","infomercial personality, on-screen partner to Don West","Other Entertainer"
"690","Edie Falco","American television, film, and stage actress","Acting Entertainer"
"691","Edward G. Robinson","Romanian-born American actor","Acting Entertainer"
"692","Elaine Quijano","American television reporter","News Entertainer"
"693","Elayne Boosler","American comedian and advocate for animal rescue","Other Entertainer"
"694","Eleanor Clift","American liberal political reporter, television pundit, and author","News Entertainer"
"695","Eleanor Roosevelt","American politician, diplomat, and activist, former First Lady of the U.S. (married to President Franklin D. Roosevelt)","U.S. Political Family"
"696","Eleonora Duse","Italian actress, often known simply as Duse","Acting Entertainer"
"697","Eli Manning","American football quarterback for the New York Giants of the National Football League (NFL)","Athlete"
"698","Elian Gonzalez","Cuban man who, as a young boy in 2000, became embroiled in a heated international custody and immigration controversy involving the governments of Cuba and the United States, his father, his other relatives in Miami, Florida, and in Cuba, and Miami's Cuban American community","other"
"699","Elijah Cummings","U.S. Representative for Maryland's 7th congressional district, serving since 1996","U.S. Politician"
"700","Elijah Kelley","American actor, singer, and dancer","Musical / Acting Entertainer"
"701","Elijah Wood","American actor, voice actor, producer, and DJ","Acting Entertainer"
"702","Elin Nordegren","Swedish American former nanny and model, and is the ex-wife of professional golfer Tiger Woods","other"
"703","Eliot Ness","American Prohibition agent, famous for his efforts to enforce Prohibition in Chicago, Illinois, bringing down Al Capone, and the leader of a famous team of law enforcement agents nicknamed The Untouchables","other"
"704","Eliot Spitzer","American politician (Democrat) who served as the Governor of New York for a little more than one year (2007 until his resignation on March 17, 2008)","U.S. Politician"
"705","Elisabeth Hasselbeck","American television personality and talk show host","News Entertainer"
"706","Elizabeth Berkley","American actress","Acting Entertainer"
"707","Elizabeth Cohen","American television news journalist for CNN","News Entertainer"
"708","Elizabeth Dole","American politician who served in both the Ronald Reagan and George H. W. Bush presidential administrations, as well as in the United States Senate","U.S. Politician"
"709","Elizabeth Hurley","English actress and model","Acting Entertainer"
"710","Elizabeth Kucinich","British organic food and vegan advocate","other"
"711","Elizabeth Taylor","British-American actress, businesswoman, and humanitarian","Acting Entertainer"
"712","Ella Fitzgerald","American jazz singer often referred to as the First Lady of Song, Queen of Jazz and Lady Ella","Musical Entertainer"
"713","Elle Fanning","American actress and singer","Musical / Acting Entertainer"
"714","Ellen DeGeneres","American comedian, television host, actress, writer, and producer","Acting Entertainer"
"715","Ellen Fein","author best known for co-writing The Rules: Time-Tested Secrets for Capturing the Heart of Mr. Right","Writer"
"716","Ellen Pompeo","American actress and producer","Acting Entertainer"
"717","Elton John","English singer, pianist, and composer","Musical Entertainer"
"718","Elvis Costello","English musician, singer-songwriter, and record producer","Musical / Acting Entertainer"
"719","Elvis Presley","American singer and actor","Musical / Acting Entertainer"
"720","Emeril Lagasse","American celebrity chef, restaurateur, television personality, and cookbook author","Other Entertainer"
"721","Emilia Clarke","English actress","Acting Entertainer"
"722","Emilio Estevez","American actor, director, and writer","Acting Entertainer"
"723","Emily Robison","American songwriter, singer, multi-instrumentalist, and a founding member of the female country band the Dixie Chicks","Musical Entertainer"
"724","Emily Saliers","American singer-songwriter and member of the musical duo Indigo Girls","Musical Entertainer"
"725","Eminem","American rapper, record producer, and actor","Musical / Acting Entertainer"
"726","Emma Bunton","English singer-songwriter, actress, and radio and television presenter","Musical / Acting Entertainer"
"727","Emma Stone","American actress","Acting Entertainer"
"728","Emmanuel Lewis","American actor, best known for playing the title character in the 1980s television sitcom Webster","Acting Entertainer"
"729","Enrique Iglesias","Spanish singer, songwriter, actor and record producer","Musical / Acting Entertainer"
"730","Enrique Peña Nieto","Mexican politician who serves as the 57th and current President of Mexico","Non-U.S. Politician"
"731","Eric Bloom","American singer, songwriter and musician","Musical Entertainer"
"732","Eric Bogosian","Armenian American actor, playwright, monologuist, novelist and historian","Acting Entertainer"
"733","Eric Braeden","German film and television actor","Acting Entertainer"
"734","Eric Cantor","American politician, lawyer, and businessman, who served as the United States representative for Virginia's 7th congressional district from 2001 until 2014","U.S. Politician"
"735","Eric Dickerson","former college and professional American football player who was a running back in the National Football League (NFL) for eleven seasons during the 1980s and 1990s","Athlete"
"736","Eric Massa","former U.S. Representative for the 29th Congressional District of New York, who served in Congress from January 2009 until his resignation in March 2010","U.S. Politician"
"737","Eric Roberts","American actor","Acting Entertainer"
"738","Eric Sevareid","CBS news journalist from 1939 to 1977","News Entertainer"
"739","Eric Trump","American businessman and former reality TV personality, son of Donald Trump","U.S. Political Family"
"740","Erik Menendez","best known for being convicted of killing his parents with his brother Lyle Menendez","Criminal"
"741","Erin Burnett","American news anchor, currently the anchor of her own news show on CNN","News Entertainer"
"742","Eriq La Salle","American actor, director, writer and producer known for his portrayals of Darryl in the 1988 comedy film Coming to America","Acting Entertainer"
"743","Ernie Johnson Jr.","sportscaster for Turner Sports and CBS Sports","News Entertainer"
"744","Errol Louis","NYC journalist and TV show host","News Entertainer"
"745","Erykah Badu","American singer-songwriter, record producer, disc jockey, activist, and actress","Musical / Acting Entertainer"
"746","Ethel Barrymore","American actress and a member of the Barrymore family of actors","Acting Entertainer"
"747","Ethel Merman","American actress and singer known primarily for her voice and roles in musical theatre","Musical / Acting Entertainer"
"748","Eugene Amos","cameraman best known for being kicked in the groin by Dennis Rodman","other"
"749","Eugene Levy","Canadian actor, comedian, producer, director, musician and writer","Musical / Acting Entertainer"
"750","Eva Braun","longtime companion of Adolf Hitler and, for less than 40 hours, his wife","other"
"751","Eva Longoria","American actress, producer, director, activist and businesswoman","Acting Entertainer"
"752","Eva Peron","second wife of Argentine President Juan Perón (1895–1974) and served as the First Lady of Argentina from 1946 until her death in 1952","other"
"753","Evan Bayh","American lawyer and Democratic politician who served as the junior U.S. Senator from Indiana from 1999 to 2011","U.S. Politician"
"754","Ewan McGregor","Scottish actor","Acting Entertainer"
"755","Eydie Gorme","American singer who performed solo as well as with her husband, Steve Lawrence, in popular ballads and swing","Musical Entertainer"
"756","F. Lee Bailey","American former attorney","Law Professional"
"757","F. Murray Abraham","American actor","Acting Entertainer"
"758","Faith Hill","American singer, songwriter, actress and record producer","Musical / Acting Entertainer"
"759","Fannie Flagg","American actress, comedian and author","Acting Entertainer"
"760","Farah Pahlavi","former Shahbanu (Empress) of Iran, widow of Mohammad Reza Pahlavi","Non-U.S. Politician"
"761","Farnsworth Bentley","musician and author","Musical Entertainer"
"762","Farrah Fawcett","American actress and artist","Acting Entertainer"
"763","Fawn Hall","secretary to Lt. Colonel Oliver North and a notable figure in the Iran-Contra affair, helping him shred confidential documents","other"
"764","Fay Vincent","former entertainment lawyer and sports executive who served as the eighth Commissioner of Major League Baseball from September 13, 1989 to September 7, 1992","Law Professional"
"765","Felicity Huffman","American film, stage, and television actress","Acting Entertainer"
"766","Fergie","American singer, songwriter and actress, best known as the female vocalist for the hip hop group The Black Eyed Peas","Musical / Acting Entertainer"
"767","Fernando Lamas","Argentine-born American actor and director, and the father of actor Lorenzo Lamas","Acting Entertainer"
"768","Fidel Castro","Cuban revolutionary and politician who governed the Republic of Cuba as Prime Minister from 1959 to 1976 and then as President from 1976 to 2008","Non-U.S. Politician"
"769","Flavor Flav","American musician, rapper, actor, television personality, and comedian who rose to prominence as a member of the hip-hop group Public Enemy","Musical / Acting Entertainer"
"770","Flea","Australian-American musician, best known as a co-founding member and one of the composers of the rock band Red Hot Chili Peppers","Musical Entertainer"
"771","Florence Griffith Joyner","American track and field athlete, considered the fastest woman of all time","Athlete"
"772","Florence Welch","English musician, singer, and songwriter best known as the lead singer of indie rock band Florence and the Machine","Musical Entertainer"
"773","Flossie Dickey","best known as 110 year old woman who was ""not one bit"" happy about being interviewed on a local Spokane TV station","other"
"774","Floyd Mayweather","American former professional boxer who competed from 1996 to 2015, and currently works as a boxing promoter","Athlete"
"775","Forest Whitaker","American actor, producer, and director","Acting Entertainer"
"776","Forrest Gregg","former American football player and coach in the National Football League (NFL) and the NCAA","Athlete"
"777","Fran Drescher","American film and television comedian, model, actress, producer, ordained Universal Life Church minister, and activist","Acting Entertainer"
"778","Fran Lebowitz","American author and public speaker","Writer"
"779","Francis Ford Coppola","semi-retired American film director, producer, and screenwriter","Acting Entertainer"
"780","Frank Bartles","character in commercial for Bartles & James wine cooler","other"
"781","Frank Gannon","one of former president Richard Nixon's aides","U.S. Politician"
"782","Frank Gifford","American football player and television sports commentator","Athlete / News Entertainer"
"783","Frank McCourt","Irish-American teacher and writer","Writer"
"784","Frank Reynolds","American television journalist for CBS and ABC News","News Entertainer"
"785","Frank Robinson","American former Major League Baseball (MLB) outfielder and manager","Athlete"
"786","Frank Sinatra","American singer, actor, and producer who was one of the most popular and influential musical artists of the 20th century","Musical / Acting Entertainer"
"787","Frank Sinatra Jr.","American singer, songwriter, and conductor","Musical Entertainer"
"788","Frank Zappa","American musician, composer, songwriter, producer, guitarist, actor, and filmmaker whose work was characterized by nonconformity, free-form improvisation, sound experiments, musical virtuosity, and satire of American culture","Musical Entertainer"
"789","Frankie Avalon","Italian-American actor, singer, and former teen idol","Musical / Acting Entertainer"
"790","Franklin Roosevelt","American statesman and political leader who served as the 32nd President of the United States from 1933 until his death in 1945","U.S. Politician"
"791","Fred Astaire","American dancer, singer, actor, choreographer and television presenter","Musical / Acting Entertainer"
"792","Fred Barnes","American political commentator","News Entertainer"
"793","Fred Berry","American actor and street dancer","Musical / Acting Entertainer"
"794","Fred Durst","American musician and film director","Musical / Acting Entertainer"
"795","Fred Savage","American actor, director, and producer","Acting Entertainer"
"796","Fred Schneider","American singer, songwriter, arranger, and musician, best known as the frontman of the rock band the B-52's, of which he is a founding member","Musical Entertainer"
"797","Fred Silverman","American television executive and producer","Acting Entertainer"
"798","Fred Thompson","American politician, attorney, lobbyist, columnist, film and television actor, and radio host","Acting Entertainer"
"799","Fred Upton","U.S. Representative for Michigan's 6th congressional district, serving since 1987","U.S. Politician"
"800","Fred Wilpon","real estate developer, baseball executive and the majority owner of the New York Mets","other"
"801","Freddie Mercury","British singer, songwriter and record producer, known as the lead vocalist and co-principal songwriter of the rock band Queen","Musical Entertainer"
"802","Freddy Fender","American Tejano, country and rock and roll musician, known for his work as a solo artist and in the groups Los Super Seven and the Texas Tornados","Musical Entertainer"
"803","Frederick de Cordova","American stage, motion picture and television director and producer","Acting Entertainer"
"804","Fredricka Whitfield","American news anchor for CNN. She hosts the weekend daytime edition of CNN Newsroom","News Entertainer"
"805","Free","American media personality, television producer and philanthropist, best known as the first host of BET's 106 & Park","Acting Entertainer"
"806","French Stewart","American actor and comedian, best known for his role as Harry Solomon on the 1990s sitcom 3rd Rock from the Sun","Acting Entertainer"
"807","Frenchie Davis","American Broadway performer and a soul, dance/electronica, and pop singer","Musical Entertainer"
"808","G. Gordon Liddy","retired American lawyer who is best known as the chief operative in the White House Plumbers unit that existed from July to September 1971, during Richard Nixon's presidency","U.S. Politician"
"809","Gabriel García Márquez","Colombian novelist, short-story writer, screenwriter and journalist, known affectionately as Gabo or Gabito throughout Latin America","Writer"
"810","Gabriel Grasso","attorney, best known for defending O.J. Simpson during his robbery trials","Law Professional"
"811","Gael García Bernal","Mexican film actor, director, and producer","Acting Entertainer"
"812","Gallagher","American comedian and prop comic, known for smashing watermelons as part of his act","Other Entertainer"
"813","Garrison Keillor","American author, storyteller, humorist, radio actor, voice actor, and radio personality","Acting Entertainer"
"814","Garry Kasparov","Russian chess grandmaster, former World chess Champion, writer, political activist, best known for losing to IBM Supercomputer Deep Blue in 1997","other"
"815","Garry Shandling","American stand-up comedian, actor, writer, and producer, best known for his work in It's Garry Shandling's Show and The Larry Sanders Show","Acting Entertainer"
"816","Garth Brooks","American country singer and songwriter","Musical Entertainer"
"817","Gary Bauer","American politician and activist","U.S. Politician"
"818","Gary Busey","American actor of film and television","Acting Entertainer"
"819","Gary Coleman","American actor and comedian, best known for his role as Arnold Jackson in Diff'rent Strokes (1978–1986) and for his small stature as an adult","Acting Entertainer"
"820","Gary Crosby","American singer and actor, son of Bing Crosby and the singer/actress Dixie Lee","Musical / Acting Entertainer"
"821","Gary Dell'Abate","American radio producer, and has been the executive producer of The Howard Stern Show since 1984","Acting Entertainer"
"822","Gary Fencik","retired professional American-football free safety and an executive with Adams Street Partners","Athlete"
"823","Gary Hart","American politician, diplomat and lawyer","U.S. Politician"
"824","Gary Morton","second husband of Lucille Ball","other"
"825","Gary Trock","TMZ reporter","News Entertainer"
"826","Gayle King","American television personality","News Entertainer"
"827","Gayle Quinnell","best known as a McCain-Palin volunteer from Minnesota, called Barack Obama ""an Arab"" during a 2008 campaign event","other"
"828","Gene Shalit","American film and book critic","News Entertainer"
"829","Gene Simmons","Israeli-American musician, singer, songwriter, record producer, entrepreneur, actor and television personality","Musical / Acting Entertainer"
"830","Gene Siskel","American film critic and journalist for Chicago Tribune","News Entertainer"
"831","Gene Wilder","American actor, screenwriter, director, producer, singer-songwriter and author","Musical / Acting Entertainer"
"832","Genevieve Phillips","best known as wife to John Phillips of ""The Mamas and the Papas"" fame","other"
"833","Geoffrey Canada","American educator social activist, author and president of the Harlem children's Zone in Harlem NY","other"
"834","Geoffrey Rush","Australian actor and film producer","Acting Entertainer"
"835","Georganne LaPiere","American singer and actress","Musical / Acting Entertainer"
"836","George Allen","American politician and member of the Republican Party from the Commonwealth of Virginia","U.S. Politician"
"837","George Burns","American comedian, actor, singer, and writer","Musical / Acting Entertainer"
"838","George Bush","American politician who was the 41st President of the United States and the 43rd Vice President of the United States","U.S. Politician"
"839","George Carlin","American stand-up comedian, social critic, actor, and author","Acting Entertainer"
"840","George Clinton","American singer, songwriter, bandleader, and record producer, best known as the principal architect of P-Funk and the mastermind of the bands Parliament and Funkadelic","Musical Entertainer"
"841","George Clooney","American actor, filmmaker, and activist","Acting Entertainer"
"842","George F. Will","Pulitzer Prize–winning conservative political commentator","News Entertainer"
"843","George Foreman","American former professional boxer who competed from 1969 to 1977, and from 1987 to 1997","Athlete"
"844","George Gaynes","American singer, actor, voice artist, and comedy performer of stage, screen, and television","Musical / Acting Entertainer"
"845","George Hamilton","American film and television actor","Acting Entertainer"
"846","George Harrison","English guitarist, singer, songwriter, and music and film producer who achieved international fame as the lead guitarist of the Beatles","Musical Entertainer"
"847","George Jessel","American illustrated song ""model"", actor, singer, songwriter, and film producer","Musical / Acting Entertainer"
"848","George Lopez","American comedian, actor, and talk show host","Acting Entertainer"
"849","George Lucas","American filmmaker and entrepreneur","Acting Entertainer"
"850","George Michael","English singer, songwriter, record producer, and philanthropist who rose to fame as a member of the music duo Wham!","Musical Entertainer"
"851","George Peck","lawyer, best known as prosecutor in Colin Ferguson's trial","Law Professional"
"852","George Plimpton","American journalist, writer, literary editor, actor and occasional amateur sportsman","Acting Entertainer"
"853","George R. R. Martin","American novelist and short-story writer in the fantasy, horror, and science fiction genres, screenwriter, and television producer","Acting Entertainer"
"854","George Rhodes","musical director for Sammy Davis Jr.","Musical Entertainer"
"855","George Ross","executive vice president and senior counsel of the Trump Organization, best known as one of Donald Trump's two advisors on the TV program ""The Apprentice""","Business Leader"
"856","George Soros","Hungarian-American investor, business magnate, and philanthropist","Business Leader"
"857","George Stephanopoulos","American journalist and former political advisor","News Entertainer"
"858","George T. Conway III","best known as husband of Kellyanne Conway, the current Counselor to President Trump","U.S. Political Family"
"859","George Takei","Japanese-American actor, director, author, and activist","Acting Entertainer"
"860","George W. Bush","American politician who served as the 43rd President of the United States from 2001 to 2009 and 46th Governor of Texas from 1995 to 2000","U.S. Politician"
"861","George Wallace","American politician and the 45th Governor of Alabama, having served two nonconsecutive terms and two consecutive terms as a Democrat: 1963–1967, 1971–1979 and 1983–1987","U.S. Politician"
"862","George Whipple III","lawyer, actor, journalist","Law Professional"
"863","George Zimmer","American entrepreneur","Business Leader"
"864","Gerald Ford","American politician who served as the 38th President of the United States from 1974 to 1977","U.S. Politician"
"865","Geraldine Ferraro","American attorney, a Democratic Party politician, and a member of the United States House of Representatives","U.S. Politician"
"866","Geraldo Rivera","American attorney, reporter, author, and talk show host","News Entertainer"
"867","Gerard Butler","Scottish actor who has appeared on film, stage, and television","Acting Entertainer"
"868","Gerard Depardieu","French actor, filmmaker, businessman and vineyard owner","Acting Entertainer"
"869","Gerardo","Ecuadorian-American rapper, actor, and singer who later became a recording industry executive and more recently a pastor","Musical / Acting Entertainer"
"870","Geri Halliwell","English pop singer-songwriter, clothes designer, author and actress","Musical / Acting Entertainer"
"871","Gerry Adams","Irish republican politician who is the president of the Sinn Féin political party and a Teachta Dála (TD; a member of the Irish parliament) for Louth since the 2011 general election","Non-U.S. Politician"
"872","Gerry Cooney","American former professional boxer who competed from 1977 to 1990","Athlete"
"873","Gerry Spence","semi-retired American trial lawyer","Law Professional"
"874","Ghyslain Raza","best known as star of ""Star Wars Kid"" viral video","other"
"875","Gilbert Gottfried","American stand-up comedian, actor and voice actor","Acting Entertainer"
"876","Gillian Anderson","American-British film, television and theatre actress, activist and writer","Acting Entertainer"
"877","Ginger Rogers","American actress, dancer, and singer","Musical / Acting Entertainer"
"878","Ginnifer Goodwin","American actress","Acting Entertainer"
"879","Gisele Bundchen","Brazilian fashion model and actress","Acting Entertainer"
"880","Giuliano Amato","Italian politician who twice served as Prime Minister of Italy, first from 1992 to 1993 and again from 2000 to 2001","Non-U.S. Politician"
"881","Glenn Beck","American television and radio host, conservative political commentator, author, television network producer, filmmaker, and entrepreneur","News Entertainer"
"882","Glenn Close","American actress, singer and film producer","Musical / Acting Entertainer"
"883","Glenn Frey","American singer, songwriter and actor, best known as a founding member of the rock band Eagles","Musical / Acting Entertainer"
"884","Glenn Thrush","American journalist, author, and chief White House political correspondent for the The New York Times, who was formerly a senior staff writer for Politico","News Entertainer"
"885","Gloria Allred","American civil rights lawyer who is noted for taking high-profile and often controversial cases; she has been particularly involved with cases involving the protection of women's rights","Law Professional"
"886","Gloria Borger","American political pundit, journalist, and columnist","News Entertainer"
"887","Gloria Estefan","Cuban-American singer, songwriter, actress, and businesswoman","Musical / Acting Entertainer"
"888","Gloria Stuart","American film and stage actress, visual artist, and activist","Acting Entertainer"
"889","Gloria Swanson","American actress and producer best known for her role as Norma Desmond, a reclusive silent film star, in the critically acclaimed 1950 film Sunset Boulevard","Acting Entertainer"
"890","Gloria Vanderbilt","American artist, author, actress, fashion designer, heiress, and socialite","Acting Entertainer"
"891","Golda Meir","Israeli teacher, kibbutznik, stateswoman and politician and the fourth elected Prime Minister of Israel","Non-U.S. Politician"
"892","Golnesa ""GG"" Gharachedaghi","reality TV star on ""Shahs of Sunset""","Reality TV Star"
"893","Grace Jones","Jamaican singer, songwriter, lyricist, supermodel, record producer, and actress","Musical / Acting Entertainer"
"894","Grace Kelly","American actress who became Princess of Monaco after marrying Prince Rainier III, in April 1956","Acting Entertainer"
"895","Graham Russell","English musician and singer/guitarist of the soft rock duo Air Supply","Musical Entertainer"
"896","Graham Stringer","British Labour Party politician who is Member of Parliament for Blackley and Broughton","Non-U.S. Politician"
"897","Greg Allman","American musician, singer and songwriter","Musical Entertainer"
"898","Greg Anderson","personal trainer, best known for his work with Barry Bonds","Athlete"
"899","Greg Camp","American Grammy Award-nominated songwriter, guitarist, and vocalist","Musical Entertainer"
"900","Greg Gumbel","American television sportscaster","News Entertainer"
"901","Greg Norman","Australian professional golfer and entrepreneur who spent 331 weeks as the world's Number 1 Official World Golf Rankings ranked golfer in the 1980s and 1990s","Athlete"
"902","Gregg Jarrett","frequent lecturer at law schools","other"
"903","Gregory Meeks","U.S. Representative for New York's 5th congressional district, formerly in the 6th District since 1998","U.S. Politician"
"904","Gregory Peck","American actor who was one of the most popular film stars from the 1940s to the 1960s","Acting Entertainer"
"905","Greta Garbo","Swedish-born American film actress during the 1920s and 1930s","Acting Entertainer"
"906","Greta Van Susteren","American commentator and television news anchor for NBC News","News Entertainer"
"907","Gretchen Carlson","American television commentator and author","News Entertainer"
"908","Gunnar Nelson","American musician, singer, songwriter and international multi-platinum recording artist","Musical Entertainer"
"909","Gus Van Sant","American film director, screenwriter, painter, photographer, musician and author who has earned acclaim as both an independent and more mainstream filmmaker","Musical / Acting Entertainer"
"910","Guy Fieri","American restaurateur, author, game show host, and television personality","News Entertainer"
"911","Gwen Ifill","American Peabody Award-winning journalist, television newscaster, and author","News Entertainer"
"912","Gwen Stefani","American singer, songwriter, and fashion designer","Musical Entertainer"
"913","Gwyneth Paltrow","American actress, singer, and food writer","Musical / Acting Entertainer"
"914","Hal Linden","American stage and screen actor, television director and musician","Musical / Acting Entertainer"
"915","Halle Berry","American actress, film producer, and former fashion model","Acting Entertainer"
"916","Halston","American fashion designer who rose to international fame in the 1970s","Fashion Industry"
"917","Hamid Karzai","President of Afghanistan from 2004 to 2014","Non-U.S. Politician"
"918","Hank Aaron","retired American Major League Baseball (MLB) right fielder who is currently the senior vice president of the Atlanta Braves","Athlete"
"919","Hank Haney","American professional golf instructor best known for coaching Tiger Woods and two-time major championship winner Mark O'Meara","Athlete"
"920","Hank Williams Jr.","American singer, songwriter and musician","Musical Entertainer"
"921","Harriet Miers","Republican lawyer and former White House Counsel to President George W. Bush","Law Professional"
"922","Harriet Nelson","American singer and actress","Musical / Acting Entertainer"
"923","Harrison Ford","American actor and film producer","Acting Entertainer"
"924","Harry Belafonte","American singer, songwriter, actor, and social activist","Musical / Acting Entertainer"
"925","Harry Browne","American writer, politician, and investment advisor","U.S. Politician"
"926","Harry Caray","American sportscaster on radio and television","News Entertainer"
"927","Harry Connick Jr.","American singer, big band leader, talk show host and actor","Musical / Acting Entertainer"
"928","Harry Knowles","film critic and writer known for his website called Ain't It Cool News","Writer"
"929","Harry Reid","American politician who served as the senior United States Senator from Nevada, from 1987 to 2017","U.S. Politician"
"930","Harry Styles","English singer and songwriter","Musical Entertainer"
"931","Harvey Fierstein","American actor, playwright, and voice actor","Acting Entertainer"
"932","Hayley Mills","English actress","Acting Entertainer"
"933","Heather Faulkiner","best known as wife of Marv Albert (sportscaster)","other"
"934","Héctor Camacho","Puerto Rican professional boxer and singer","Athlete"
"935","Heidi Cruz","American investment manager at Goldman Sachs, wife of Republican Texas senator Ted Cruz","U.S. Political Family"
"936","Heidi Klum","German-American model, television personality, businesswoman, fashion designer, singer, television producer, and occasional actress","Acting Entertainer"
"937","Helen Caldicott","Australian physician, author, and anti-nuclear advocate","Scientist"
"938","Helen Gurley Brown","American author, publisher, and businesswoman","Writer"
"939","Helen Hayes","American actress whose career spanned almost 80 years","Acting Entertainer"
