"","Character","Occupation","Category"
"72","Ananda Lewis","American television personality, model and social activist","Acting Entertainer"
"73","Anderson Cooper","American journalist, television personality, and author","News Entertainer"
"74","Andie MacDowell","American actress and fashion model","Acting Entertainer"
"75","Andre 3000","American rapper, singer, songwriter, record producer, dancer, and actor, best known for being part of hip hop duo Outkast alongside fellow rapper Big Boi","Musical / Acting Entertainer"
"76","Andre Agassi","American retired professional tennis player and former World No. 1, who was one of the game's most dominant players from the early 1990s to the mid-2000s","Athlete"
"77","André the Giant","French professional wrestler and actor","Acting Entertainer"
"78","Andrea Bocelli","Italian classical crossover tenor, recording artist, and singer-songwriter","Musical Entertainer"
"79","Andrew Card","American politician who was White House Chief of Staff under President George W. Bush from 2001 to 2006, as well as head of Bush's White House Iraq Group","U.S. Politician"
"80","Andrew Dice Clay","American comedian and actor","Acting Entertainer"
"81","Andrew Giuliani","American lawyer, businessman, public speaker, former mayor of New York City, and current White House cyber security adviser","U.S. Politician"
"82","Andrew Lloyd Webber","English composer and impresario of musical theatre","Musical Entertainer"
"83","Andrew McCarthy","American actor, travel writer and television director","Acting Entertainer"
"84","Andrew Ridgeley","English singer, songwriter and record producer","Musical Entertainer"
"85","Andrew Young","American politician, diplomat, and activist","U.S. Politician"
"86","Andy Azula","creative director for The Martin Agency, well known for starring in a series of ads for UPS","Acting Entertainer"
"87","Andy Cohen","American talk show and radio host, author and producer","News Entertainer"
"88","Andy Dick","American comedian, actor, musician, and television and film producer","Musical / Acting Entertainer"
"89","Andy Griffith","American actor, television producer, Southern gospel singer, and writer","Musical / Acting Entertainer"
"90","Andy Lewis","slackliner, professional performer, extreme sports athlete","Athlete"
"91","Andy Rooney","American radio and television writer who was best known for his weekly broadcast ""A Few Minutes with Andy Rooney,"" a part of the CBS News program 60 Minutes from 1978 to 2011","News Entertainer"
"92","Angela Gonzalez","extended family of Elian Gonzalez","other"
"93","Angela Lansbury","British-American-Irish actress who has appeared in theatre, television and film, as well as a producer, singer and songwriter","Musical / Acting Entertainer"
"94","Angela Merkel","German politician who is currently Chancellor of Germany","Non-U.S. Politician"
"95","Angela Raiola","American reality television personality who co-starred in the VH1 series Mob Wives","Reality TV Star"
"96","Angelina Jolie","American actress, filmmaker, and humanitarian","Acting Entertainer"
"97","Anita Baker","retired American singer-songwriter","Musical Entertainer"
"98","Anita Bryant","American singer, former Miss Oklahoma beauty pageant winner, and former brand ambassador for the Florida Citrus Commission (which marketed orange juice)","Musical Entertainer"
"99","Anita Hill","American attorney and academic","Law Professional"
"100","Anjelica Huston","American actress, director and former fashion model","Acting Entertainer"
"101","Ann B. Davis","American actress","Acting Entertainer"
"102","Ann Coulter","American conservative social and political commentator, writer, syndicated columnist, and lawyer","News Entertainer"
"103","Ann Landers","Pen name for advice columnist","News Entertainer"
"104","Ann Miller","American dancer, singer and actress","Musical / Acting Entertainer"
"105","Ann Romney","wife of American businessman and politician, Mitt Romney","U.S. Political Family"
"106","Ann-Margret","Swedish-American actress, singer, and dancer","Musical / Acting Entertainer"
"107","Anna Faris","American actress","Acting Entertainer"
"108","Anna Freud","Austrian-British psychoanalyst and the 6th and last child of Sigmund Freud and Martha Bernays","other"
"109","Anna Kachikyan","TMZ personality, journalist","News Entertainer"
"110","Anna Kournikova","Russian former professional tennis player","Athlete"
"111","Anna Nicole Smith","American model, actress, and television personality","Acting Entertainer"
"112","Anne Beverley","Mother of Sid Vicious","other"
"113","Anne Burford","American attorney and politician","U.S. Politician"
"114","Anne Hathaway","American actress and singer","Musical / Acting Entertainer"
"115","Anne Hayes","best known as wife of football coach Woody Hayes","other"
"116","Anne Hearst","American socialite, philanthropist, and publishing heiress","other"
"117","Anne Heche","American actress, a director, and a screenwriter","Acting Entertainer"
"118","Anne Murray","Canadian singer in pop, country, and adult contemporary music whose albums have sold over 55 million copies worldwide","Musical Entertainer"
"119","Anne Robinson","English television presenter and journalist, known for her acerbic style of presenting","News Entertainer"
"120","Annette Funicello","American actress and singer","Musical / Acting Entertainer"
"121","Annie Lennox","Scottish singer, songwriter, political activist and philanthropist","Musical Entertainer"
"122","Anthony Baldi","Citizen who asked a question during a town-hall presidential debate in 2004","other"
"123","Anthony Edwards","American actor and director","Acting Entertainer"
"124","Anthony Kiedis","American musician best known as the lead singer and lyricist of the band Red Hot Chili Peppers, which he has fronted since its conception in 1983","Musical Entertainer"
"125","Anthony Lewis","American public intellectual and journalist, twice winner of the Pulitzer Prize, and a longtime New York Times columnist","News Entertainer"
"126","Antonio Banderas","Spanish actor, director, singer, and producer","Musical / Acting Entertainer"
"127","Anwar Sadat","third President of Egypt, serving from 15 October 1970 until his assassination by fundamentalist army officers on 6 October 1981","Non-U.S. Politician"
"128","apl.de.ap","Filipino American rapper, record producer, singer and musician best known as a member of the Grammy Award-winning hip hop group The Black Eyed Peas","Musical / Acting Entertainer"
"129","Archie Griffin","former American football running back","Athlete"
"130","Aretha Franklin","American singer, songwriter and musician","Musical Entertainer"
"131","Ariana Grande","American singer and actress","Musical / Acting Entertainer"
"132","Arianna Huffington","Greek American author, syndicated columnist, occasional actress, and businesswoman","Writer"
"133","Arianne Zuker","American actress and model","Acting Entertainer"
"134","Ariel Castro","criminal most well known for kidnapping 3 women and holding them captive. He later plead guilty to 937 criminal counts of rape, kidnapping and aggravated murder as part of a plea bargin.","Criminal"
"135","Arlen Specter","American lawyer and politician who served as United States Senator from Pennsylvania","U.S. Politician"
"136","Armstrong Williams","American political commentator, entrepreneur, author of a nationally syndicated conservative newspaper column, and host of a daily radio show and TV program","News Entertainer"
"137","Arnold Schwarzenegger","Austrian-American actor, producer, businessman, investor, author, philanthropist, activist, and former professional bodybuilder and politician","Acting Entertainer"
"138","Arsenio Hall","American comedian, actor, and talk show host","Acting Entertainer"
"139","Art Garfunkel","American singer, poet and actor","Musical / Acting Entertainer"
"140","Ashley Ferl","girl seen crying during Sanjaya Malakar & other contestants' performanceson the Top 11 episode of American Idol 6.","other"
"141","Ashley Olsen","American actress, fashion designer, producer, author, and businesswoman","Acting Entertainer"
"142","Ashley Parker Angel","American singer, songwriter and actor who rose to fame with the boyband O-Town","Musical / Acting Entertainer"
"143","Ashton Kutcher","American actor and investor","Acting Entertainer"
"144","Austin Russell","American actor, businessman and reality television personality, known as a cast member on the History Channel television show Pawn Stars","Reality TV Star"
"145","Austin Scarlett","American fashion designer and artist best known for his appearances on the first season of Project Runway, the 2012 ""Project Runway: All-Stars"", and his own series, On the Road with Austin and Santino","Reality TV Star"
"146","Ava Gardner","American actress and singer","Musical / Acting Entertainer"
"147","Avril Lavigne","Canadian singer-songwriter and actress","Musical / Acting Entertainer"
"148","Axl Rose","American singer, songwriter, record producer and musician","Musical / Acting Entertainer"
"149","Azealia Banks","American rapper, singer-songwriter, and actress","Musical / Acting Entertainer"
"150","Aziz Ansari","American actor, comedian, and writer","Acting Entertainer"
"151","B.B. King","American blues singer, electric guitarist, songwriter, and record producer","Musical / Acting Entertainer"
"152","Babe Ruth","American professional baseball player whose career in Major League Baseball (MLB) spanned 22 seasons, from 1914 through 1935","Athlete"
"153","Babyface","American singer, songwriter and record producer","Musical / Acting Entertainer"
"154","Barack Obama","American politician who served as the 44th President of the United States from 2009 to 2017","U.S. Politician"
"155","Barbara Boxer","American politician who served as a United States Senator from California 1993 to 2017","U.S. Politician"
"156","Barbara Bush","wife of George H. W. Bush, the 41st President of the United States, and served as First Lady of the United States from 1989 to 1993","U.S. Political Family"
"157","Barbara Corcoran","American businesswoman, investor, speaker, consultant, syndicated columnist, author, and television personality","News Entertainer"
"158","Barbara Howar","actress, best known for ""The Trials of Henry Kissinger""","Acting Entertainer"
"159","Barbara Mandrell","American country music singer, musician, and actress","Musical / Acting Entertainer"
"160","Barbara Merrill","American politician from Maine","U.S. Politician"
"161","Barbara Pierce Bush","elder of the fraternal twin daughters of the 43rd U.S. President George W. Bush and former First Lady Laura Bush","U.S. Political Family"
"162","Barbara Walters","American broadcast journalist, author, and television personality","News Entertainer"
"163","Barbra Streisand","American singer, songwriter, actress, and filmmaker","Musical / Acting Entertainer"
"164","Barkhad Abdi","Somali-American actor and director","Acting Entertainer"
"165","Barney Frank","former American politician and board member of the New York-based Signature Bank","U.S. Politician"
"166","Barry Black","62nd chaplain of the United States Senate","U.S. Politician"
"167","Barry Bonds","American former professional baseball left fielder who played 22 seasons in Major League Baseball (MLB) with the Pittsburgh Pirates and San Francisco Giants","Athlete"
"168","Barry Gibb","British singer, songwriter and record producer who rose to worldwide fame as a co-founder of the group Bee Gees","Musical / Acting Entertainer"
"169","Barry Livingston","American television and film actor, known for his role as Ernie Douglas on the television series My Three Sons","Acting Entertainer"
"170","Barry Manilow","American singer-songwriter, arranger, musician, and producer with a career that has spanned over 50 years","Musical / Acting Entertainer"
"171","Barry Scheck","American lawyer","Law Professional"
"172","Barry White","American singer-songwriter and composer","Musical Entertainer"
"173","Barry Williams","American actor best known for his role as Greg Brady on The Brady Bunch","Acting Entertainer"
"174","Bea Arthur","American actress, comedian, singer, and animal rights activist","Musical / Acting Entertainer"
"175","Bela Karolyi","Romanian gymnastics coach of Hungarian descent","Athlete"
"176","Ben Affleck","American actor and filmmaker","Acting Entertainer"
"177","Ben Bailey","American comedian, licensed taxi cab driver, and Emmy Award winning former game show host and executive producer for Discovery Channel's Cash Cab in New York City","Acting Entertainer"
"178","Ben Bernanke","American economist at the Brookings Institution who served two terms as Chairman of the Federal Reserve, the central bank of the United States, from 2006 to 2014","other"
"179","Ben Carson","American retired neurosurgeon, author, and politician who is the nominee to be the 17th United States Secretary of Housing and Urban Development","U.S. Politician"
"180","Ben Mankiewicz","American television personality","News Entertainer"
"181","Ben Vereen","American actor, dancer, and singer who has appeared in numerous Broadway theatre shows","Musical / Acting Entertainer"
"182","Benito Mussolini","Italian politician, journalist, and leader of the National Fascist Party (Partito Nazionale Fascista; PNF), ruling the country as Prime Minister from 1922 to 1943","Non-U.S. Politician"
"183","Benjamin Netanyahu","current Prime Minister of Israel","Non-U.S. Politician"
"184","Benny Hill","English comedian and actor, best remembered for his long-running internationally popular television programme The Benny Hill Show","Acting Entertainer"
"185","Bernadette Cooper","member of band Klymaxx","Musical Entertainer"
"186","Bernard Madoff","American fraudster and a former stockbroker, investment advisor, and financier","Criminal"
"187","Bernard Shaw","Irish playwright, critic, and polemicist whose influence on Western theatre, culture, and politics extended from the 1880s to his death and beyond","Acting Entertainer"
"188","Bernhard Goetz","best known for shooting 4 alleged muggers on a New York City Subway train in Manhattan on December 22, 1984","other"
"189","Bernie Mac","American comedian, actor and voice artist","Acting Entertainer"
"190","Bernie Sanders","American politician who has been the junior United States Senator from Vermont since 2007","U.S. Politician"
"191","Bert Convy","American actor, singer, game show host and panelist known for his tenure as the host for Tattletales, Super Password, and Win, Lose or Draw","Musical / Acting Entertainer"
"192","Bert Lance","American businessman who served as Director of the Office of Management and Budget under President Jimmy Carter in 1977","U.S. Politician"
"193","Betsy DeVos","American businesswoman, philanthropist, and politician who is the 11th and current United States Secretary of Education","U.S. Politician"
"194","Betsy Maxwell","editor, publisher, best known as wife of Walter Cronkite","Writer"
"195","Bette Davis","American actress of film, television, and theater","Acting Entertainer"
"196","Betty Boothroyd","British politician who served as a Labour Member of Parliament for West Bromwich and West Bromwich West from 1973 to 1992","Non-U.S. Politician"
"197","Betty Currie","personal secretary for Bill Clinton during his presidency","U.S. Politician"
"198","Betty Ford","First Lady of the United States from 1974 to 1977, as the wife of the 38th President of the United States, Gerald Ford","U.S. Political Family"
"199","Betty Grable","American actress, pin-up girl, dancer, and singer","Musical / Acting Entertainer"
"200","Beverly Jeanne","dancer, best known as dancer on the TV series ""Solid Gold""","Musical Entertainer"
"201","Beyoncé","American singer, songwriter and actress","Musical / Acting Entertainer"
"202","Bianca Jagger","Nicaraguan social and human rights advocate and a former actress, also known as ex-wife to Mick Jagger","Acting Entertainer"
"203","Biff Henderson","American comedian and television personality best known for his work on the Late Show with David Letterman","Acting Entertainer"
"204","Big John Murray","actor, known for Rock of Love with Bret Michaels","Acting Entertainer"
