EntertainerSwarm.js:406 Don Kirshner,166.71298773205314,138.4649021786451,28.839193752349765
EntertainerSwarm.js:406 Fred Silverman,230.55412051462173,137.86065162728255,27.000002052223685
EntertainerSwarm.js:406 Joe Cocker,153.18098804958282,246.59699222842298,25
EntertainerSwarm.js:406 Tom Snyder,214.6852234165773,275.910616146176,35.12603302379167
EntertainerSwarm.js:406 Walter Cronkite,134.95459329665016,191.53009030515045,25
EntertainerSwarm.js:406 Brooke Shields,283.4997334615136,99.21284627798713,30.55107164713573
EntertainerSwarm.js:406 Dr. Ruth Westheimer,288.8444877200524,168.11637102009016,30.55107164713573
EntertainerSwarm.js:406 Fernando Lamas,358.9820982993444,277.78922497527657,35.12603302379167
EntertainerSwarm.js:406 Frank Sinatra,287.27234972930023,243.15885256168377,36.508056791744735
EntertainerSwarm.js:406 Tom Snyder,345.8341284716248,129.03670452510934,30.55107164713573
EntertainerSwarm.js:406 Barbara Walters,430.36205672670485,147.63950144431269,48
EntertainerSwarm.js:406 Burt Reynolds,510.36382040429265,281.50433273206636,39.109066637867066
EntertainerSwarm.js:406 Larry King,519.3170254014125,122.24656643788605,36.508056791744735
EntertainerSwarm.js:406 Michael Jackson,576.155121198402,178.0243108225127,35.12603302379167
EntertainerSwarm.js:406 Ted Koppel,433.3591150852227,242.7096456101299,39.109066637867066
EntertainerSwarm.js:406 Al Sharpton,594.9583392194269,259.3443443328046,40.33973862686705
EntertainerSwarm.js:406 Chris Matthews,613.0585813232449,94.70591426093348,48
EntertainerSwarm.js:406 Dan Rather,694.4959262039558,135.5944560471277,35.12603302379167
EntertainerSwarm.js:406 Sean Connery,627.7213140263968,337.6126468349225,36.508056791744735
EntertainerSwarm.js:406 Tom Brokaw,681.2714779649727,273.3929961096383,39.109066637867066
EntertainerSwarm.js:406 Al Sharpton,927.255037675929,249.34890827959103,33.67962676471598
EntertainerSwarm.js:406 Brian Kilmeade,898.3920415027472,113.03571294054566,33.67962676471598
EntertainerSwarm.js:406 Charles Barkley,825.1984242839507,130.97136859239487,33.67962676471598
EntertainerSwarm.js:406 Justin Bieber,759.2317900343625,91.63303343479856,35.12603302379167
EntertainerSwarm.js:406 Kim Kardashian,766.2104957592126,274.1791228082791,37.833599247844134
EntertainerSwarm.js:406 Matthew McConaughey,849.4524901089566,265.75352602207715,37.833599247844134
EntertainerSwarm.js:406 Steve Doocy,725.5710185220898,205.83288380872355,33.67962676471598
EntertainerSwarm.js:406 Steve Harvey,878.0987731805209,188.5461736978705,36.508056791744735
EntertainerSwarm.js:406 undefined,201.23179926450578,200.13601602545714,30
EntertainerSwarm.js:406 undefined,353.32543500277325,201.03449131813812,30
EntertainerSwarm.js:406 undefined,502.6837854532859,200.92681134730572,30
EntertainerSwarm.js:406 undefined,650.3106603194012,198.60561540282453,30
EntertainerSwarm.js:406 undefined,801.0108958289618,202.50590995774485,30
